sentence,cultural_context,csi_category,csi_hall_mapping,hall_level
He made sure not to <CSI> overstay his welcome </CSI> and left shortly after dinner.,"In American culture, staying longer than expected at someone’s home may be considered rude unless explicitly invited to stay longer.",Social Etiquette,Appropriacy,Semi-visible
We practice <CSI> active listening </CSI> during team discussions to ensure everyone feels heard.,Active listening demonstrates respect and engagement in Western workplace communication.,Workplace Culture,Communication,Invisible
He always tries to be on time in hangouts as its considered <CSI> rude </CSI> to be late in his culture.,Being on time is considered important as being late is viewed as rude in Western culture.,Social Etiquette,Customs,Semi-visible
He <CSI> avoided crowding </CSI> others appreciating British preferences for <CSI> spatial boundaries </CSI>.,Avoiding crowding honors British spatial boundary expectations in shared spaces.,Social Etiquette,Action,Invisible
She inquired about preferred <CSI> racial terminology </CSI> to show respect for individual identity.,Asking about preferred terminology demonstrates American sensitivity to racial identity complexity.,Social Etiquette,Appropriacy,Semi-visible
"Growing up, her grandmother shared stories of how European <CSI> Jews </CSI> endured <CSI> hardships </CSI>, shaping their resilience and strong sense of community.","The experiences of European Jews have deeply influenced their communities, emphasizing survival, cultural preservation, and a commitment to passing down their heritage.",Cultural Reference,Structure,Invisible
He enthusiastically <CSI> thanked the giver </CSI> regardless of his true feelings about the present.,Enthusiastic thanks maintain positive gift-giving experiences in Western social exchanges.,Social Etiquette,Appropriacy,Semi-visible
She's a real <CSI> Karen </CSI> asking to speak to the manager over every little thing.,"Karen is a recent internet stereotype depicting entitled middle-aged white women who complain excessively, reflecting contemporary American social commentary.",Cultural Stereotype,Stereotype,Invisible
She <CSI> read social cues </CSI> about when to end the visit appropriately.,Reading departure cues prevents overstaying British hospitality boundaries.,Social Etiquette,Appropriacy,Semi-visible
"He couldn’t help but <CSI> gaze at her </CSI> from across the room, a subtle European gesture of interest.","In some European cultures, gazing at someone with prolonged eye contact can signal romantic interest.",Social Etiquette,Customs,Semi-visible
"On <CSI> Labor Day </CSI>, they hosted a barbecue to celebrate the hard work of everyone in their family.","Labor Day honors the achievements of workers and the history of labor rights in the U.S., marked by parades and family gatherings.",Social Tradition,Rituals,Semi-visible
She’s a <CSI> fashionista </CSI> who always wears the latest trends.,A fashionista refers to someone highly interested in fashion.,Cultural Reference,Dress,Visible
Americans consider <CSI> discussing personal income </CSI> inappropriate in social settings.,Discussing personal income violates privacy norms in American social and professional contexts.,Social Etiquette,Appropriacy,Semi-visible
The <CSI> Corgi </CSI> dogs are beloved by the royal family and British public.,Corgis represent British royal pet preferences and breeding traditions.,Cultural Reference,Visible Behaviour,Visible
The office implements <CSI> mentorship programs </CSI> to develop junior employees.,Mentorship programs facilitate professional growth in Western organizational development.,Workplace Culture,Workplace Norms,Semi-visible
Americans expect foreigners to be <CSI> proud of their homeland </CSI> similar to American national pride.,Americans project their patriotic values onto expectations of others' national pride.,Social Tradition,Thinking,Invisible
He received a <CSI> written warning </CSI> for violating company policy.,Written warnings document infractions in American workplace disciplinary procedures.,Workplace Culture,Workplace Norms,Semi-visible
"Every fall, they debate whether to get the <CSI> flu shot </CSI>, weighing the pros and cons as a family.","The flu shot debate highlights American attitudes toward healthcare, prevention, and public health initiatives.",Social Tradition,Thinking,Invisible
She let her host know ahead of time that she was <CSI> uncomfortable </CSI> being around their <CSI> cat </CSI>.,"Many Americans have pets, and it is considered polite to inform the host beforehand if you have allergies or discomfort with animals.",Social Etiquette,Appropriacy,Semi-visible
"We're going to <CSI> camp in the woods </CSI>, with tents and a campfire.","Camping is a popular American recreational activity, reflecting a love for the outdoors and adventure.",Cultural Reference,Rituals,Semi-visible
He opened with <CSI> business objectives </CSI> immediately after brief introductions.,Starting with business objectives reflects American time-efficiency values in professional meetings.,Workplace Culture,Communication,Invisible
<CSI> Social media </CSI> platforms connect people across geographical boundaries.,Social media enables digital relationships and connections in Western culture.,Cultural Reference,Institutions,Visible
"For them, marriage is about <CSI> love </CSI> and partnership, not just tradition or financial security.","Modern marriage is rooted in personal choice and emotional connection, rather than tradition or necessity.",Cultural Value,Orientations,Invisible
The <CSI> farmers' market </CSI> has live music and food vendors every Sunday.,Farmers' markets combine shopping with entertainment as community social events in American culture.,Social Tradition,Rituals,Semi-visible
She addressed the issue <CSI> face-to-face </CSI> in a <CSI> one-on-one setting </CSI> to resolve tensions.,Face-to-face private discussions preserve dignity while resolving American workplace conflicts.,Social Etiquette,Communication,Invisible
"She happily accepted a <CSI> second serving </CSI> of pie, showing her appreciation for the meal.",Accepting second servings in American culture is a way to show enjoyment of the meal and gratitude for the host’s efforts.,Social Tradition,Customs,Semi-visible
They're <CSI> van life </CSI> travelers documenting their journey on social media.,Van life represents a minimalist nomadic lifestyle popularized in contemporary American culture.,Social Tradition,Environment,Invisible
They play <CSI> fantasy football </CSI> every season with friends from college.,Fantasy football competitions based on real player statistics have become a significant part of American sports fandom and social bonding.,Sports Tradition,Customs,Semi-visible
They’re hosting a <CSI> traditional afternoon tea </CSI> with scones and clotted cream.,Traditional afternoon tea with scones and clotted cream is a classic British social ritual.,Social Tradition,Food and Drink,Visible
He received a <CSI> pink slip </CSI> today.,"In American business culture, a 'pink slip' is a colloquial term for being fired or laid off from a job.",Workplace Culture,Workplace Norms,Semi-visible
He maintained a <CSI> calm demeanor </CSI> despite frustration as emotional displays are <CSI> frowned upon </CSI> professionally.,Calm demeanor during conflict reflects American professional composure expectations.,Social Etiquette,Communication,Invisible
"She refrained from using the <CSI> 'OK' hand gesture </CSI> at a political event, as it has recently been appropriated by far-right groups.","Though historically used to mean 'all is well,' the 'OK' symbol has gained political connotations in recent years, making it inappropriate in certain contexts.",Cultural Reference,Visible Behaviour,Visible
The company implements <CSI> skip-level meetings </CSI> to gather unfiltered employee feedback.,Skip-level meetings bypass direct managers to improve transparency in Western corporate hierarchies.,Workplace Culture,Workplace Norms,Semi-visible
They're doing the typical <CSI> spring break </CSI> in Cancun with college friends.,"Spring break is a week-long beach vacation during university breaks, particularly popular among college students in American culture.",Social Tradition,Customs,Semi-visible
"While using a <CSI> dating app </CSI>, she found it easier to meet people for casual dates, reflecting the growing popularity of <CSI> online dating </CSI> among younger Brits.","Dating apps and online dating are widely used in Britain, with younger people often using free apps for casual dating and older individuals preferring paid platforms for serious relationships.",Social Tradition,Customs,Semi-visible
She values <CSI> being direct and honest </CSI> in all professional communications.,Being direct and honest prioritizes clarity in Western business communication styles.,Workplace Culture,Communication,Invisible
They’re celebrating <CSI> Oktoberfest </CSI> with beer tents and traditional Bavarian music.,Oktoberfest is a famous German beer festival held in Munich with traditional Bavarian culture.,Social Tradition,Rituals,Semi-visible
The host set up a <CSI> bar cart </CSI> with <CSI> cocktails </CSI> for the evening gathering.,Bar carts and cocktails represent American home entertaining and hospitality traditions.,Social Tradition,Customs,Semi-visible
"When writing an email, I always end it with a polite closing like <CSI> 'Best regards' </CSI>.","English email etiquette emphasizes polite closings like 'Best regards', but in other settings, closings may be more formal or skipped altogether.",Workplace Culture,Appropriacy,Semi-visible
"She’s always offering to make a <CSI> cup of tea </CSI> when someone’s upset,it’s a British comfort ritual.",Offering a cup of tea when someone is upset is a British comfort ritual.,Social Tradition,Rituals,Semi-visible
"Students in Europe always carry their <CSI> EHIC cards </CSI>, ensuring access to healthcare while traveling.","The European Health Insurance Card (EHIC cards) is essential for students and travelers within Europe, ensuring access to healthcare while traveling.",Cultural Reference,Environment,Invisible
"He <CSI> avoided cutting up all his food </CSI> at once, knowing this is how young children are typically fed in the U.S.","Cutting up all your food at once is associated with feeding children in American culture, and adults are expected to cut only one piece at a time.",Social Etiquette,Appropriacy,Semi-visible
She politely asked the man nearby to extinguish his <CSI> cigarette </CSI> because the smoke was bothering her.,"Americans may directly request smokers to extinguish their cigarettes and stop smoking near them, particularly in shared or public spaces.",Social Etiquette,Appropriacy,Semi-visible
He's dismissed as a <CSI> redneck </CSI> based on his Southern accent and truck.,Redneck is a derogatory stereotype applied to working-class rural Americans in cultural discourse.,Cultural Stereotype,Stereotype,Invisible
She always includes <CSI> gift wrap </CSI> to make presents more special and festive.,Gift wrapping adds anticipation and specialness to American gift-giving presentations.,Social Tradition,Rituals,Semi-visible
"He brought a bottle of <CSI> wine </CSI> to the dinner party, knowing it was common for Americans to offer <CSI> alcoholic beverages </CSI> at such gatherings.","Alcohol is often served at western social events like BBQs, dinner parties, or game nights, reflecting a cultural norm of hospitality.",Social Tradition,Customs,Semi-visible
They’re hosting a <CSI> Burns Night supper </CSI> with haggis and poetry readings.,Burns Night is a Scottish celebration honoring poet Robert Burns with haggis and poetry.,Social Tradition,Rituals,Semi-visible
"After graduation, many friends celebrate by throwing a <CSI> house party </CSI> filled with music and dancing.",Graduation house parties mark the transition to adulthood in American youth culture.,Social Tradition,Rituals,Semi-visible
"He used a piece of <CSI> bread </CSI> to <CSI> mop up the sauce </CSI> on his plate, complimenting the cook in the process.",Using bread to clean your plate signals appreciation for the meal and is seen as a compliment to the host in American culture.,Social Etiquette,Visible Behaviour,Visible
They always have <CSI> aperitivo </CSI> before dinner with drinks and small snacks.,Aperitivo is an Italian pre-dinner social custom of drinks and snacks enjoyed before the evening meal.,Social Tradition,Customs,Semi-visible
"She avoided discussing <CSI> gun control </CSI> with her colleague, knowing it is a divisive topic in the U.S.","Topics such as gun control, abortion, and civil rights are deeply polarizing in American culture and are best avoided unless you have a close relationship with the person.",Social Etiquette,Appropriacy,Semi-visible
I find it rude when someone doesn't say <CSI> 'excuse me' </CSI> or <CSI> 'sorry' </CSI> after bumping into me.,Saying 'excuse me' or 'sorry' after bumping into someone is an apologizing norm for minor inconveniences in English culture.,Social Etiquette,Appropriacy,Semi-visible
"She’s always the life of the party, a real <CSI> social butterfly </CSI>.",A social butterfly is someone who naturally interacts with and enjoys the company of many people.,Social Etiquette,Communication,Invisible
She delivered the joke with a <CSI> deadpan expression </CSI> enhancing the <CSI> comedic effect </CSI>.,Deadpan delivery amplifies British dry humor through contrast with content.,Cultural Reference,Action,Invisible
The <CSI> half-timbered houses </CSI> line the cobblestone streets of the medieval town.,Half-timbered houses showcase traditional European architectural construction methods and charm.,Cultural Reference,Architecture,Visible
Stand-up comedians use <CSI> observational humor </CSI> about everyday situations.,Observational humor finds comedy in mundane Western daily life experiences.,Cultural Reference,Communication,Invisible
The customers <CSI> stood in line </CSI> orderly without <CSI> pushing forward </CSI> at the sale.,Orderly queuing without pushing maintains fairness in American consumer settings.,Social Etiquette,Appropriacy,Semi-visible
"Each European country celebrates <CSI> unique holidays </CSI>, like St. Patrick’s Day in Ireland or Bastille Day in France.",Holidays reflect the diverse cultural heritage of European nations.,Social Tradition,Rituals,Semi-visible
"When being introduced, it's common to <CSI> stand up and smile warmly </CSI>, reflecting proper British social decorum.","When being introduced, standing up and smiling warmly are common British introductions that involve gestures of respect and warmth as a sign of courtesy.",Social Etiquette,Action,Invisible
Americans consider <CSI> unannounced visits </CSI> intrusive and prefer scheduled gatherings.,Unannounced visits violate American expectations of planned social interactions.,Social Etiquette,Customs,Semi-visible
People love to discuss the <CSI> weather </CSI> here as a polite conversation starter.,Talking about the weather is a common way to engage in small talk in British culture.,Social Etiquette,Styles of Discourse,Semi-visible
We're going to a <CSI> country music </CSI> concert at the arena this Saturday.,Country music concerts celebrate a distinctly American musical genre popular in Western culture.,Social Tradition,Music,Visible
She refrained from making <CSI> obscene gestures </CSI> even when provoked.,Obscene gestures violate American social norms of public civility and respect.,Cultural Reference,Appropriacy,Semi-visible
The <CSI> apprenticeship system </CSI> trains skilled workers in traditional trades.,Apprenticeship systems preserve European vocational training traditions and craft knowledge transfer.,Cultural Reference,Structure,Invisible
"She’s such a <CSI> soccer mom </CSI>, always driving the kids to practice.",The soccer mom stereotype describes American mothers actively involved in children's sports.,Cultural Stereotype,Stereotype,Invisible
The team celebrated with a <CSI> pizza party </CSI> after the project wrapped up.,Pizza parties are a casual tradition to celebrate workplace achievements in American culture.,Workplace Culture,Food and Drink,Visible
"After leaving her church, she found support in online <CSI> atheist  </CSI> communities, where people shared their experiences and perspectives.","Finding support in online atheist communities reflects the rise of atheism and a shift in American spirituality, with many turning away from organized religion and embracing secularism.",Cultural Reference,Thinking,Invisible
"While visiting a small town in Italy, she noticed the streets emptying around 2 PM as locals headed home for their afternoon <CSI> siesta </CSI>.","The siesta is a cherished afternoon rest tradition in Italy, especially in smaller towns.",Social Tradition,Rituals,Semi-visible
"She realized that international news coverage was <CSI> limited </CSI> on American networks, as most focus on domestic events.","International news coverage is limited on American networks, which often prioritize domestic events over international developments unless they directly involve American foreign policy.",Social Tradition,Structure,Invisible
She booked a <CSI> massage </CSI> to <CSI> relieve tension </CSI> after a long week of work.,"European massage techniques focus on relaxation and circulation, reflecting a holistic approach to wellness.",Cultural Reference,Institutions,Visible
"During a conversation with her British colleague, she noticed that he kept a <CSI> neutral expression </CSI>, making it hard to tell whether he agreed or disagreed with her ideas.","In British culture, people often keep a neutral expression and avoid showing strong emotions through facial expressions, which can make their reactions seem subtle or ambiguous.",Social Etiquette,Communication,Invisible
She <CSI> used her napkin </CSI> to wipe her mouth rather than her sleeve.,Using napkins properly demonstrates basic Western dining etiquette and cleanliness.,Social Etiquette,Appropriacy,Semi-visible
"When visiting a colleague’s house for dinner, she brought a bottle of <CSI> wine </CSI> as a token gift, which is a common gesture in British culture.","Bringing small token gifts, such as wine or chocolates, is a polite and customary gesture when visiting someone’s home in Britain.",Social Tradition,Customs,Semi-visible
Always <CSI> offer to help clean up </CSI> after being invited to someone's home.,Offering to help clean up shows appreciation for hospitality in Western social etiquette.,Social Etiquette,Customs,Semi-visible
She uses <CSI> diplomatic language </CSI> when discussing American cultural differences.,Diplomatic language prevents offense when discussing American cultural practices.,Social Etiquette,Communication,Invisible
"At her grandfather’s <CSI> funeral </CSI>, the heartfelt <CSI> speeches </CSI> and respectful atmosphere left a lasting impression.","Funerals in the UK are typically solemn, respectful ceremonies that honor the deceased with dignity.",Social Tradition,Rituals,Semi-visible
They’re celebrating <CSI> St. Patrick’s Day </CSI> with parades and green outfits.,St. Patrick's Day is an Irish cultural and religious holiday celebrated with parades.,Social Tradition,Rituals,Semi-visible
Medieval <CSI> castles </CSI> dot the British countryside as preserved historical sites.,Castles represent British medieval heritage preserved as national treasures.,Cultural Reference,Architecture,Visible
The CEO follows a <CSI> hands-on leadership </CSI> approach.,"In Western corporate culture, a 'hands-on' leader is actively involved rather than delegating tasks entirely.",Workplace Culture,Power,Invisible
He's doing the <CSI> Lambeau Leap </CSI> after scoring a touchdown.,"The Lambeau Leap is a specific celebration where Green Bay Packers players jump into the stands after scoring, representing unique team-specific traditions in American football.",Sports Tradition,Rituals,Semi-visible
Putting your phone away shows respect when <CSI> avoiding texting during conversations </CSI>.,Avoiding phone use during face-to-face interactions signals respect in Western social norms.,Social Etiquette,Communication,Invisible
"He laughed at the British tendency to poke fun at <CSI> politicians </CSI> and class, knowing that humour is often used to <CSI> critique society </CSI>.","The British often use humour to critique society, including poking fun at politicians, class, and religion, as a way of making pointed critiques without offending.",Social Tradition,Customs,Semi-visible
She’s a <CSI> DIY </CSI> enthusiast who loves home improvement projects.,A DIY enthusiast refers to someone who enjoys doing home projects themselves.,Cultural Reference,Action,Invisible
She's called a <CSI> neat freak </CSI> for her obsessive cleaning habits.,Neat freak describes people with excessive tidiness in Western personality stereotypes.,Cultural Stereotype,Stereotype,Invisible
The pub is hosting a <CSI> quiz night </CSI> every Thursday with prizes for the winners.,Pub quiz nights are popular British social traditions combining trivia competition with socializing.,Social Tradition,Rituals,Semi-visible
Professional emails should conclude with closings like <CSI> 'Best regards' </CSI> or 'Sincerely'.,Using formal closings like 'Best regards' maintains professionalism in Western email communication.,Workplace Culture,Appropriacy,Semi-visible
They’re celebrating <CSI> King’s Day </CSI> with orange outfits and street parties in the Netherlands.,King's Day is a Dutch national holiday celebrating the monarch's birthday with orange outfits.,Social Tradition,Rituals,Semi-visible
The neighborhood is hosting a <CSI> block party </CSI> next Saturday with food and games.,Block parties are community gatherings where neighbors socialize and celebrate together in American neighborhoods.,Social Tradition,Customs,Semi-visible
The <CSI> Statue of Liberty </CSI> appears on currency symbolizing American freedom.,The Statue of Liberty represents American liberty ideals through artistic monetary depictions.,Cultural Reference,Art,Visible
He always speaks for <CSI> himself </CSI> during negotiations showing <CSI> proactive behavior </CSI>.,Speaking for oneself demonstrates American self-advocacy and initiative-taking values.,Workplace Culture,Individualism,Invisible
She's <CSI> interning </CSI> at a law firm to gain practical experience.,Interning provides career-relevant experience for students in Western professional development.,Social Tradition,Action,Invisible
"Buying their <CSI> first home </CSI> felt like achieving the ultimate American dream, a milestone they’d worked toward for years.","Owning a home is a central part of the American dream, reflecting aspirations for financial security and personal achievement.",Social Tradition,Individualism,Invisible
He's an <CSI> adrenaline junkie </CSI> who loves skydiving and bungee jumping.,An adrenaline junkie is someone who seeks thrilling and dangerous activities in Western culture.,Cultural Reference,Action,Invisible
They're preparing a traditional <CSI> Easter ham </CSI> with all the sides.,Easter ham dinners celebrate spring holidays with festive meals in Western tradition.,Social Tradition,Food and Drink,Visible
They implemented <CSI> flex time </CSI> so employees can choose their working hours.,Flex time policies reflect American workplace values of autonomy and work-life balance.,Workplace Culture,Workplace Customs,Semi-visible
"She complimented her friend’s dress but avoided asking her <CSI> age </CSI>, knowing it might be rude.","Asking about age, particularly for women, is often seen as inappropriate in American culture.",Social Etiquette,Appropriacy,Semi-visible
She taught her friend to <CSI> network effectively </CSI> so they could <CSI> create opportunities independently </CSI>.,Teaching skills empowers self-sufficiency reflecting American independence values.,Social Etiquette,Action,Invisible
"She's always <CSI> multitasking </CSI> during meetings,checking emails while on calls.",Multitasking reflects the fast-paced and efficiency-driven nature of American workplace culture.,Workplace Culture,Action,Invisible
They’re hosting a <CSI> Hogmanay </CSI> celebration to welcome the New Year.,Hogmanay is the Scottish celebration of New Year's Eve.,Social Tradition,Rituals,Semi-visible
The senator gave a <CSI> filibuster speech </CSI> to delay the vote.,A filibuster is a tactic used in U.S. politics to prolong debate and obstruct legislation.,Workplace Culture,Styles of Discourse,Semi-visible
He avoided the <CSI> OK sign </CSI> in photos after learning about its controversial associations.,The OK sign's appropriation by extremist groups has made it problematic in American public contexts.,Cultural Reference,Visible Behaviour,Visible
The angry driver resisted the urge to show the <CSI> middle finger </CSI> despite road rage frustration.,Middle finger gestures express extreme hostility and are highly offensive in American culture.,Cultural Reference,Appropriacy,Semi-visible
"When someone invites me to a barbecue, I always <CSI> bring something like drinks or snacks to share </CSI>.","Bringing something like drinks or snacks to share is a common norm in English culture, but in other cultures, the host may feel obligated to provide everything.",Social Etiquette,Customs,Semi-visible
They're having a <CSI> destination wedding </CSI> in Hawaii next spring.,"A destination wedding is a wedding held in vacation locations, reflecting the blend of celebration and travel in contemporary American culture.",Social Tradition,Rituals,Semi-visible
"She <CSI> avoided raising her voice </CSI> in anger during the disagreement, knowing that loud emotional outbursts are generally <CSI> disapproved of </CSI> in American culture.","While Americans may speak loudly in public spaces, they disapprove of emotional outbursts, especially in professional or formal settings.",Social Etiquette,Communication,Invisible
She <CSI> turned down </CSI> the invitation without giving extensive explanations.,Simple refusals without elaborate justification are acceptable in Western social etiquette.,Social Etiquette,Appropriacy,Semi-visible
"Her kids came home from school singing patriotic songs, a reminder of how <CSI> patriotism </CSI> is woven into American education.","Patriotism in the U.S. is expressed through symbols like the flag, national holidays, and civic education, fostering a sense of national pride.",Social Tradition,Rituals,Semi-visible
She's going <CSI> skiing </CSI> in Colorado with friends over winter break.,Skiing trips are popular winter vacation activities for American students during school breaks.,Social Tradition,Customs,Semi-visible
"In many comedies, the character is portrayed as a <CSI> British butler </CSI>, highlighting exaggerated class distinctions.",Exaggerated portrayals of the British butler emphasize traditional class roles and formality in media.,Cultural Stereotype,Stereotype,Invisible
We’re going to a <CSI> farmers' market </CSI> to buy fresh produce.,"Farmers' markets are community events where local farmers sell fresh goods, popular in American culture.",Social Tradition,Food and Drink,Visible
They planned a <CSI> special outing </CSI> to thank their friends for their support.,Special outings demonstrate thoughtful gratitude through shared experiences in Western culture.,Social Tradition,Customs,Semi-visible
Keep conversations professional by <CSI> not prying into private life </CSI> during business meetings.,Not prying into private life maintains professional boundaries in Western workplace culture.,Social Etiquette,Appropriacy,Semi-visible
Conservation efforts aim to preserve <CSI> wilderness areas </CSI> for future generations to experience.,Wilderness preservation reflects American values of environmental stewardship and natural heritage.,Cultural Value,Environment,Invisible
They’re attending a <CSI> midsummer festival </CSI> with dancing around a maypole.,"Midsummer festivals are celebrated in many European countries, especially in Scandinavia.",Social Tradition,Rituals,Semi-visible
"When visiting someone’s home, I always offer to help with <CSI> cleaning up after a meal </CSI>.","Offering to help with cleaning up after a meal is a polite gesture in English culture, but in other cultures, it may be seen as unnecessary or even intrusive.",Social Etiquette,Appropriacy,Semi-visible
He’s always saying <CSI> 'cheers' </CSI> to appreciate someone.,Saying 'cheers' is a casual way of expressing gratitude in British culture.,Social Etiquette,Styles of Discourse,Semi-visible
The <CSI> madrigal group </CSI> sings Renaissance music at concerts.,Madrigal groups preserve British early music traditions through specialized performances.,Social Tradition,Music,Visible
The family celebrates with a <CSI> champagne toast </CSI> at midnight on New Year's Eve.,Champagne toasts mark the New Year transition in American celebratory rituals.,Social Tradition,Rituals,Semi-visible
The <CSI> water cooler conversations </CSI> are where you hear all the office gossip.,Water cooler conversations represent spontaneous workplace socialization in American offices.,Workplace Culture,Styles of Discourse,Semi-visible
Avoid asking about <CSI> political views </CSI> in professional social settings.,Political discussions can create tension in American workplace social interactions.,Social Etiquette,Appropriacy,Semi-visible
"He gave a small <CSI> smile </CSI> and a nod to the stranger he passed on the street, knowing this was regarded as polite in America.","Smiling and acknowledging strangers (e.g., with a nod) while passing them is common in American culture and signals friendliness.",Social Etiquette,Appropriacy,Semi-visible
He always says <CSI> 'excuse me' </CSI> when trying to pass someone in a crowded space.,Saying 'excuse me' when navigating through people is a polite British custom showing consideration.,Social Etiquette,Customs,Semi-visible
He learned that <CSI> historical racial terms </CSI> carry painful associations in American history.,Historical racial terms evoke segregation-era trauma in American collective memory.,Social Etiquette,Appropriacy,Semi-visible
They're running with the bulls during <CSI> San Fermín </CSI> festival in Pamplona.,San Fermín is a famous Spanish festival featuring the dangerous bull-running tradition.,Social Tradition,Rituals,Semi-visible
The family attended <CSI> midnight mass </CSI> on Christmas Eve at the cathedral.,Midnight mass represents European Christian traditions marking religious celebrations collectively.,Social Tradition,Rituals,Semi-visible
"During their first date, they chose to meet at a <CSI> quiet café </CSI>, allowing them to have a <CSI> meaningful conversation </CSI> and get to know each other better.","British dates often take place in settings like a quiet café or pubs, where couples can have meaningful conversations, engage in discussion, and build a connection.",Social Tradition,Customs,Semi-visible
They’re hosting a <CSI> game night </CSI> with friends this Friday.,Game nights are casual social gatherings centered around board games or card games in American culture.,Social Tradition,Customs,Semi-visible
She always uses <CSI> 'sorry' </CSI> to get someone's attention in a shop.,Using 'sorry' to get attention or start a request is a distinctly British politeness marker.,Social Etiquette,Customs,Semi-visible
